[0.0231, 0.0087, 0.0036, 0.0093, -0.0016, -0.0071], 1
[0.0231, 0.0087, 0.0077, 0.0246, -0.0078, -0.0071], 60
[0.0498, 0.0151, 0.0077, 0.0538, -0.0338, -0.0071], 60
[0.0845, 0.022, 0.0138, 0.0783, -0.0568, -0.0071], 60
[0.1213, 0.0294, 0.0204, 0.1013, -0.0768, -0.0071], 60
[0.1213, 0.0294, 0.0281, 0.1213, -0.0967, -0.0071], 60
[0.1589, 0.0371, 0.0281, 0.1489, -0.1228, -0.0071], 60
[0.1979, 0.0449, 0.0358, 0.1688, -0.1382, -0.002], 60
[0.2362, 0.0527, 0.0439, 0.1888, -0.155, -0.0071], 60
[0.2362, 0.0527, 0.0511, 0.2133, -0.1765, -0.0071], 60
[0.2737, 0.0605, 0.0511, 0.2317, -0.1918, -0.002], 60
[0.312, 0.0679, 0.0593, 0.2547, -0.2118, -0.0071], 61
[0.3503, 0.0757, 0.0669, 0.2777, -0.2317, -0.0071], 60
[0.3503, 0.0757, 0.0746, 0.2946, -0.2455, -0.002], 60
[0.3878, 0.0835, 0.0746, 0.3207, -0.2655, -0.0071], 60
[0.4254, 0.0908, 0.0822, 0.3391, -0.2793, -0.0071], 60
[0.4644, 0.0981, 0.0899, 0.359, -0.2977, -0.0071], 60
[0.4644, 0.0981, 0.0899, 0.3775, -0.3176, -0.002], 60
[0.5027, 0.1059, 0.0976, 0.3989, -0.3345, -0.0071], 61
[0.5409, 0.1137, 0.1052, 0.4265, -0.359, -0.002], 61
[0.5792, 0.1215, 0.1129, 0.4449, -0.3759, -0.002], 60
[0.6175, 0.1289, 0.1206, 0.471, -0.3959, -0.0071], 60
[0.6175, 0.1289, 0.1287, 0.491, -0.4097, -0.0071], 60
[0.6558, 0.1367, 0.1287, 0.5124, -0.4281, -0.0071], 60
[0.6948, 0.1445, 0.1359, 0.5324, -0.4449, -0.0071], 60
[0.733, 0.1523, 0.1441, 0.5523, -0.4618, -0.002], 60
[0.733, 0.1523, 0.1517, 0.5707, -0.4756, -0.002], 60
[0.772, 0.1601, 0.1517, 0.5907, -0.4925, -0.002], 60
[0.8103, 0.1679, 0.1594, 0.6152, -0.5109, -0.0071], 60
[0.8486, 0.1761, 0.167, 0.6352, -0.5262, -0.0071], 60
[0.8486, 0.1761, 0.167, 0.6597, -0.5493, -0.0071], 60
[0.8869, 0.1839, 0.1752, 0.675, -0.5631, -0.0071], 60
[0.9251, 0.1908, 0.1829, 0.6981, -0.583, -0.0071], 60
[0.9634, 0.1986, 0.1905, 0.7119, -0.5953, -0.0071], 60
[0.9634, 0.1986, 0.1982, 0.7395, -0.6168, -0.0071], 60
[1.0017, 0.2064, 0.1982, 0.7594, -0.6321, -0.0071], 60
[1.04, 0.2142, 0.2059, 0.7794, -0.649, -0.002], 60
[1.079, 0.222, 0.2135, 0.8054, -0.6689, -0.0071], 60
[1.079, 0.222, 0.2217, 0.8223, -0.6873, -0.0071], 60
[1.1173, 0.2298, 0.2217, 0.8407, -0.7011, -0.002], 60
[1.1555, 0.2376, 0.2289, 0.8622, -0.7195, -0.0071], 60
[1.1931, 0.2454, 0.237, 0.8821, -0.7349, -0.002], 60
[1.1931, 0.2454, 0.2447, 0.9021, -0.7533, -0.0071], 60
[1.2314, 0.2527, 0.2447, 0.9235, -0.7732, -0.0071], 60
[1.2704, 0.26, 0.2523, 0.945, -0.7886, -0.0071], 60
[1.3094, 0.2683, 0.26, 0.968, -0.8085, -0.0071], 60
[1.3094, 0.2683, 0.2677, 0.988, -0.8208, -0.0071], 60
[1.3484, 0.2756, 0.2677, 1.011, -0.8438, -0.0071], 60
[1.3866, 0.2834, 0.2753, 1.0325, -0.8607, -0.0071], 60
[1.4249, 0.2908, 0.2825, 1.0509, -0.8745, -0.0071], 60
[1.4625, 0.2986, 0.2902, 1.0739, -0.8975, -0.002], 60
[1.4625, 0.2986, 0.2978, 1.0938, -0.9159, -0.002], 60
[1.5007, 0.3064, 0.2978, 1.1153, -0.9312, -0.0071], 60
[1.539, 0.3142, 0.3055, 1.1383, -0.9496, -0.0071], 60
[1.5773, 0.3215, 0.3131, 1.1552, -0.9665, -0.0071], 60
[1.5773, 0.3215, 0.3208, 1.1797, -0.9864, -0.0071], 60
[1.6156, 0.3298, 0.3208, 1.2027, -1.0049, -0.0071], 60
[1.6538, 0.3371, 0.3285, 1.2257, -1.0202, -0.0071], 60
[1.6921, 0.3444, 0.3356, 1.2395, -1.0371, -0.0071], 60
[1.6921, 0.3444, 0.3356, 1.2656, -1.0555, -0.0071], 60
[1.7304, 0.3527, 0.3433, 1.284, -1.0693, -0.0071], 60
[1.7687, 0.3609, 0.3509, 1.3086, -1.0923, -0.0071], 60
[1.807, 0.3683, 0.3586, 1.3239, -1.1076, -0.0071], 60
[1.807, 0.3683, 0.3663, 1.35, -1.1276, -0.0071], 60
[1.846, 0.3761, 0.3663, 1.3699, -1.1398, -0.0071], 60
[1.8842, 0.3839, 0.3739, 1.3929, -1.1598, -0.002], 60
[1.9225, 0.3917, 0.3816, 1.4083, -1.1767, -0.0071], 60
[1.9225, 0.3917, 0.3898, 1.4344, -1.1951, -0.0071], 60
[1.9615, 0.3995, 0.3898, 1.4543, -1.2089, -0.0071], 60
[1.9998, 0.4068, 0.3969, 1.4758, -1.2273, -0.0071], 60
[2.0373, 0.4146, 0.4046, 1.4911, -1.2442, -0.0071], 60
[2.0373, 0.4146, 0.4122, 1.5172, -1.2626, -0.002], 60
[2.0763, 0.4224, 0.4122, 1.5402, -1.281, -0.0071], 60
[2.1146, 0.4297, 0.4204, 1.554, -1.2963, -0.002], 60
[2.1536, 0.4371, 0.4286, 1.574, -1.3101, -0.0071], 60
[2.1536, 0.4371, 0.4357, 1.5954, -1.3301, -0.0071], 60
[2.1919, 0.4449, 0.4357, 1.623, -1.35, -0.0071], 60
[2.2302, 0.4527, 0.4439, 1.6507, -1.3745, -0.002], 62
[2.2684, 0.46, 0.4516, 1.6691, -1.3899, -0.0071], 60
[2.3067, 0.4673, 0.4597, 1.689, -1.4068, -0.0071], 60
[2.3067, 0.4673, 0.4597, 1.712, -1.4236, -0.0071], 60
[2.345, 0.4751, 0.4669, 1.7274, -1.4405, -0.0071], 60
[2.3833, 0.4829, 0.4751, 1.7488, -1.4574, -0.002], 60
[2.4216, 0.4903, 0.4822, 1.7764, -1.4789, -0.0071], 60
[2.4216, 0.4903, 0.4889, 1.7933, -1.4927, -0.0071], 60
[2.4533, 0.4967, 0.4889, 1.801, -1.4988, -0.0071], 60
[2.4764, 0.5008, 0.494, 1.8102, -1.508, -0.0071], 60
[2.4873, 0.5008, 0.4965, 1.8117, -1.5095, -0.0071], 60
[2.4562, 0.4939, 0.4919, 1.8117, -1.5126, -0.0071], 482
[2.4562, 0.4894, 0.4868, 1.8087, -1.5095, 0.0082], 60
[2.4244, 0.4894, 0.4868, 1.7995, -1.5019, 0.044], 60
[2.3898, 0.482, 0.4807, 1.778, -1.4927, 0.0542], 60
[2.3522, 0.4724, 0.474, 1.7519, -1.4835, 0.0696], 60
[2.3522, 0.4632, 0.4669, 1.7335, -1.4773, 0.0849], 60
[2.3147, 0.4632, 0.4669, 1.7151, -1.4681, 0.1054], 60
[2.2764, 0.4531, 0.4603, 1.7028, -1.462, 0.1207], 60
[2.2381, 0.4435, 0.4531, 1.6844, -1.4558, 0.1309], 60
[2.2381, 0.4334, 0.446, 1.6645, -1.4466, 0.1514], 60
[2.1998, 0.4334, 0.446, 1.6507, -1.439, 0.177], 60
[2.1616, 0.4233, 0.4388, 1.6384, -1.4359, 0.1821], 60
[2.1226, 0.4137, 0.4316, 1.6215, -1.4298, 0.2076], 60
[2.1226, 0.4031, 0.424, 1.6077, -1.4236, 0.223], 60
[2.0843, 0.4031, 0.424, 1.5893, -1.416, 0.2383], 60
[2.0467, 0.393, 0.4173, 1.5786, -1.4098, 0.2537], 60
[2.0085, 0.383, 0.4102, 1.5648, -1.4068, 0.2741], 60
[2.0085, 0.3729, 0.403, 1.5463, -1.3991, 0.2895], 60
[1.9695, 0.3729, 0.403, 1.5341, -1.3929, 0.2997], 60
[1.9312, 0.3623, 0.3959, 1.5203, -1.3868, 0.3304], 60
[1.8922, 0.3518, 0.3887, 1.5095, -1.3822, 0.3406], 60
[1.8922, 0.3417, 0.3816, 1.5003, -1.3776, 0.3457], 60
[1.8532, 0.3417, 0.3816, 1.4835, -1.3684, 0.3661], 60
[1.8149, 0.332, 0.3744, 1.4666, -1.3623, 0.3917], 60
[1.7766, 0.3215, 0.3673, 1.4512, -1.3577, 0.4122], 60
[1.7766, 0.3109, 0.3606, 1.439, -1.3515, 0.4224], 60
[1.7383, 0.3109, 0.3606, 1.4221, -1.3454, 0.448], 60
[1.6993, 0.3009, 0.354, 1.4114, -1.3393, 0.4684], 60
[1.6618, 0.2912, 0.3463, 1.3991, -1.3331, 0.4786], 60
[1.6618, 0.2807, 0.3392, 1.3837, -1.3301, 0.4889], 60
[1.6235, 0.2706, 0.332, 1.3623, -1.3193, 0.5298], 60
[1.5845, 0.2706, 0.332, 1.3515, -1.3178, 0.54], 60
[1.5462, 0.261, 0.3254, 1.3362, -1.3101, 0.5605], 60
[1.5087, 0.2509, 0.3188, 1.3239, -1.304, 0.5809], 60
[1.5087, 0.2408, 0.3121, 1.307, -1.2978, 0.5911], 60
[1.4704, 0.2408, 0.3121, 1.2917, -1.2917, 0.6116], 60
[1.4321, 0.2302, 0.3045, 1.2825, -1.2871, 0.6269], 60
[1.3939, 0.2197, 0.2978, 1.2672, -1.2794, 0.6474], 60
[1.3939, 0.2096, 0.2902, 1.2549, -1.2733, 0.6627], 60
