[0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, 0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, -0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, 0.000, -0.000, -0.000, 0.000]
[-0.000, 0.001, 0.000, -0.001, -0.001, 0.000]
[0.000, 0.001, 0.001, -0.001, -0.001, 0.000]
[0.000, 0.000, 0.001, -0.003, -0.003, 0.000]
[0.000, -0.000, 0.002, -0.005, -0.004, 0.000]
[0.000, -0.001, 0.003, -0.008, -0.007, 0.000]
[0.001, -0.002, 0.004, -0.011, -0.009, 0.000]
[0.001, -0.003, 0.005, -0.014, -0.012, 0.000]
[0.001, -0.004, 0.007, -0.018, -0.016, 0.000]
[0.001, -0.006, 0.009, -0.022, -0.019, 0.000]
[0.001, -0.007, 0.010, -0.027, -0.023, 0.000]
[0.002, -0.009, 0.012, -0.031, -0.027, 0.000]
[0.002, -0.010, 0.014, -0.035, -0.031, 0.000]
[0.002, -0.012, 0.015, -0.040, -0.035, 0.000]
[0.002, -0.013, 0.017, -0.045, -0.039, 0.000]
[0.003, -0.015, 0.019, -0.050, -0.044, 0.000]
[0.003, -0.017, 0.022, -0.057, -0.049, 0.000]
[0.003, -0.020, 0.025, -0.064, -0.055, 0.000]
[0.004, -0.022, 0.028, -0.072, -0.062, 0.000]
[0.004, -0.025, 0.031, -0.080, -0.069, 0.000]
[0.005, -0.028, 0.034, -0.088, -0.076, 0.000]
[0.005, -0.031, 0.037, -0.096, -0.083, 0.000]
[0.006, -0.034, 0.040, -0.105, -0.091, 0.000]
[0.006, -0.038, 0.044, -0.114, -0.099, 0.000]
[0.007, -0.041, 0.048, -0.124, -0.107, 0.000]
[0.007, -0.044, 0.052, -0.134, -0.115, 0.000]
[0.008, -0.048, 0.056, -0.144, -0.124, 0.000]
[0.008, -0.051, 0.060, -0.155, -0.133, 0.000]
[0.009, -0.055, 0.064, -0.166, -0.143, 0.000]
[0.010, -0.059, 0.068, -0.177, -0.153, 0.000]
[0.010, -0.063, 0.073, -0.188, -0.163, 0.000]
[0.011, -0.068, 0.078, -0.201, -0.173, 0.000]
[0.012, -0.072, 0.082, -0.213, -0.184, 0.000]
[0.012, -0.076, 0.087, -0.225, -0.194, 0.000]
[0.013, -0.080, 0.092, -0.237, -0.204, 0.000]
[0.014, -0.085, 0.096, -0.249, -0.215, 0.001]
[0.014, -0.089, 0.101, -0.261, -0.225, 0.001]
[0.015, -0.093, 0.106, -0.273, -0.236, 0.001]
[0.016, -0.097, 0.110, -0.285, -0.246, 0.001]
[0.016, -0.101, 0.115, -0.297, -0.256, 0.001]
[0.017, -0.105, 0.120, -0.309, -0.267, 0.001]
[0.018, -0.110, 0.124, -0.321, -0.277, 0.001]
[0.018, -0.114, 0.129, -0.333, -0.287, 0.001]
[0.019, -0.118, 0.133, -0.345, -0.298, 0.001]
[0.020, -0.122, 0.138, -0.357, -0.308, 0.001]
[0.020, -0.126, 0.143, -0.369, -0.318, 0.001]
[0.021, -0.130, 0.147, -0.381, -0.329, 0.001]
[0.022, -0.135, 0.152, -0.393, -0.339, 0.001]
[0.022, -0.139, 0.157, -0.405, -0.349, 0.001]
[0.023, -0.143, 0.161, -0.417, -0.360, 0.001]
[0.024, -0.147, 0.166, -0.429, -0.370, 0.001]
[0.024, -0.151, 0.171, -0.441, -0.380, 0.001]
[0.025, -0.156, 0.175, -0.453, -0.391, 0.001]
[0.026, -0.160, 0.180, -0.465, -0.401, 0.001]
[0.026, -0.164, 0.185, -0.477, -0.411, 0.001]
[0.027, -0.168, 0.189, -0.489, -0.422, 0.001]
[0.028, -0.172, 0.194, -0.501, -0.432, 0.001]
[0.028, -0.176, 0.199, -0.513, -0.443, 0.001]
[0.029, -0.181, 0.203, -0.525, -0.453, 0.001]
[0.030, -0.185, 0.208, -0.537, -0.463, 0.001]
[0.030, -0.189, 0.212, -0.549, -0.474, 0.001]
[0.031, -0.193, 0.217, -0.561, -0.484, 0.001]
[0.032, -0.197, 0.222, -0.573, -0.494, 0.001]
[0.032, -0.201, 0.226, -0.585, -0.505, 0.001]
[0.033, -0.206, 0.231, -0.597, -0.515, 0.001]
[0.034, -0.210, 0.236, -0.609, -0.525, 0.001]
[0.034, -0.214, 0.240, -0.621, -0.536, 0.001]
[0.035, -0.218, 0.245, -0.633, -0.546, 0.001]
[0.036, -0.222, 0.250, -0.645, -0.556, 0.001]
[0.036, -0.227, 0.254, -0.657, -0.567, 0.001]
[0.037, -0.231, 0.259, -0.669, -0.577, 0.001]
[0.038, -0.235, 0.264, -0.681, -0.587, 0.001]
[0.038, -0.239, 0.268, -0.693, -0.598, 0.001]
[0.039, -0.243, 0.273, -0.705, -0.608, 0.001]
[0.040, -0.247, 0.278, -0.717, -0.618, 0.001]
[0.040, -0.252, 0.282, -0.729, -0.629, 0.001]
[0.041, -0.256, 0.287, -0.741, -0.639, 0.001]
[0.042, -0.260, 0.291, -0.753, -0.649, 0.001]
[0.042, -0.264, 0.296, -0.765, -0.660, 0.001]
[0.043, -0.268, 0.301, -0.777, -0.670, 0.001]
[0.044, -0.272, 0.305, -0.789, -0.681, 0.001]
[0.044, -0.277, 0.310, -0.801, -0.691, 0.001]
[0.045, -0.281, 0.315, -0.813, -0.701, 0.001]
[0.046, -0.285, 0.319, -0.825, -0.712, 0.001]
[0.046, -0.289, 0.324, -0.837, -0.722, 0.002]
[0.047, -0.293, 0.329, -0.849, -0.732, 0.002]
[0.048, -0.298, 0.333, -0.861, -0.743, 0.002]
[0.048, -0.302, 0.338, -0.873, -0.753, 0.002]
[0.049, -0.306, 0.343, -0.885, -0.763, 0.002]
[0.050, -0.310, 0.347, -0.897, -0.774, 0.002]
[0.050, -0.314, 0.352, -0.909, -0.784, 0.002]
[0.051, -0.318, 0.357, -0.921, -0.794, 0.002]
[0.052, -0.323, 0.361, -0.933, -0.805, 0.002]
[0.052, -0.327, 0.366, -0.945, -0.815, 0.002]
[0.053, -0.331, 0.371, -0.957, -0.825, 0.002]
[0.053, -0.335, 0.375, -0.969, -0.836, 0.002]
[0.054, -0.339, 0.380, -0.981, -0.846, 0.002]
[0.055, -0.343, 0.384, -0.993, -0.856, 0.002]
[0.055, -0.348, 0.389, -1.005, -0.867, 0.002]
[0.056, -0.352, 0.394, -1.017, -0.877, 0.002]
[0.057, -0.356, 0.398, -1.029, -0.888, 0.002]
[0.057, -0.360, 0.403, -1.041, -0.898, 0.002]
[0.058, -0.364, 0.408, -1.053, -0.908, 0.002]
[0.059, -0.368, 0.412, -1.065, -0.919, 0.002]
[0.059, -0.373, 0.417, -1.077, -0.929, 0.002]
[0.060, -0.377, 0.422, -1.089, -0.939, 0.002]
[0.061, -0.381, 0.426, -1.101, -0.950, 0.002]
[0.061, -0.385, 0.431, -1.113, -0.960, 0.002]
[0.062, -0.389, 0.436, -1.125, -0.970, 0.002]
[0.063, -0.393, 0.440, -1.137, -0.981, 0.002]
[0.063, -0.398, 0.445, -1.149, -0.991, 0.002]
[0.064, -0.402, 0.450, -1.161, -1.001, 0.002]
[0.065, -0.406, 0.454, -1.173, -1.012, 0.002]
[0.065, -0.410, 0.459, -1.185, -1.022, 0.002]
[0.066, -0.414, 0.463, -1.197, -1.032, 0.002]
[0.067, -0.419, 0.468, -1.209, -1.043, 0.002]
[0.067, -0.423, 0.473, -1.221, -1.053, 0.002]
[0.068, -0.427, 0.477, -1.233, -1.063, 0.002]
[0.069, -0.431, 0.482, -1.245, -1.074, 0.002]
[0.069, -0.435, 0.487, -1.257, -1.084, 0.002]
[0.070, -0.439, 0.491, -1.269, -1.094, 0.002]
[0.071, -0.444, 0.496, -1.281, -1.105, 0.002]
[0.071, -0.448, 0.501, -1.293, -1.115, 0.002]
[0.072, -0.452, 0.505, -1.305, -1.126, 0.002]
[0.073, -0.456, 0.510, -1.317, -1.136, 0.002]
[0.073, -0.460, 0.515, -1.329, -1.146, 0.002]
[0.074, -0.464, 0.519, -1.341, -1.157, 0.002]
[0.075, -0.469, 0.524, -1.353, -1.167, 0.002]
[0.075, -0.473, 0.529, -1.365, -1.177, 0.002]
[0.076, -0.477, 0.533, -1.377, -1.188, 0.002]
[0.077, -0.481, 0.538, -1.389, -1.198, 0.002]
[0.077, -0.485, 0.543, -1.401, -1.208, 0.002]
[0.078, -0.489, 0.547, -1.413, -1.219, 0.002]
[0.079, -0.494, 0.552, -1.425, -1.229, 0.003]
[0.079, -0.498, 0.556, -1.437, -1.239, 0.003]
[0.080, -0.502, 0.561, -1.449, -1.250, 0.003]
[0.081, -0.506, 0.566, -1.461, -1.260, 0.003]
[0.081, -0.510, 0.570, -1.473, -1.270, 0.003]
[0.082, -0.514, 0.575, -1.485, -1.281, 0.003]
[0.083, -0.519, 0.580, -1.497, -1.291, 0.003]
[0.083, -0.523, 0.584, -1.509, -1.301, 0.003]
[0.084, -0.527, 0.589, -1.521, -1.312, 0.003]
[0.085, -0.531, 0.594, -1.533, -1.322, 0.003]
[0.085, -0.535, 0.598, -1.546, -1.333, 0.003]
[0.086, -0.539, 0.603, -1.558, -1.343, 0.003]
[0.087, -0.544, 0.607, -1.569, -1.353, 0.003]
[0.087, -0.547, 0.612, -1.580, -1.363, 0.003]
[0.088, -0.551, 0.616, -1.591, -1.372, 0.003]
[0.088, -0.555, 0.620, -1.601, -1.381, 0.003]
[0.089, -0.558, 0.624, -1.612, -1.390, 0.003]
[0.090, -0.562, 0.628, -1.621, -1.398, 0.003]
[0.090, -0.565, 0.631, -1.631, -1.406, 0.003]
[0.091, -0.568, 0.635, -1.640, -1.414, 0.003]
[0.091, -0.571, 0.638, -1.648, -1.421, 0.003]
[0.091, -0.574, 0.641, -1.656, -1.428, 0.003]
[0.092, -0.577, 0.644, -1.664, -1.435, 0.003]
[0.092, -0.579, 0.647, -1.672, -1.442, 0.003]
[0.093, -0.582, 0.650, -1.680, -1.449, 0.003]
[0.093, -0.584, 0.653, -1.687, -1.454, 0.003]
[0.093, -0.587, 0.655, -1.692, -1.459, 0.003]
[0.094, -0.588, 0.657, -1.697, -1.464, 0.003]
[0.094, -0.590, 0.659, -1.702, -1.468, 0.003]
[0.094, -0.591, 0.661, -1.706, -1.472, 0.003]
[0.094, -0.593, 0.662, -1.711, -1.475, 0.003]
[0.095, -0.594, 0.664, -1.715, -1.479, 0.003]
[0.095, -0.595, 0.666, -1.719, -1.482, 0.003]
[0.095, -0.596, 0.667, -1.722, -1.485, 0.003]
[0.095, -0.598, 0.668, -1.726, -1.488, 0.003]
[0.095, -0.599, 0.669, -1.729, -1.491, 0.003]
[0.096, -0.600, 0.670, -1.732, -1.493, 0.003]
[0.096, -0.601, 0.671, -1.734, -1.495, 0.003]
[0.096, -0.602, 0.672, -1.736, -1.497, 0.003]
[0.096, -0.602, 0.672, -1.737, -1.498, 0.003]
[0.096, -0.602, 0.673, -1.738, -1.499, 0.003]
[0.096, -0.602, 0.673, -1.738, -1.499, 0.003]
[0.096, -0.602, 0.673, -1.738, -1.499, 0.003]
[0.096, -0.602, 0.673, -1.738, -1.499, 0.003]
[0.096, -0.602, 0.673, -1.738, -1.499, 0.003]
