[0.0, 0.0, 0.001, 0.0001, -0.0001, 0.0133], 266
[0.0, -0.0005, 0.001, 0.0001, -0.0001, -0.002], 60
[0.0029, -0.006, 0.0056, -0.0306, -0.0108, -0.002], 194
[0.0029, -0.0151, 0.0174, -0.072, -0.0461, 0.0031], 60
[0.0051, -0.0294, 0.0337, -0.1119, -0.0814, -0.002], 60
[0.0079, -0.0294, 0.0516, -0.1686, -0.1335, -0.002], 60
[0.0108, -0.0454, 0.0516, -0.2085, -0.1673, -0.002], 60
[0.0108, -0.0619, 0.07, -0.2515, -0.2072, 0.0031], 60
[0.0137, -0.0784, 0.0899, -0.2791, -0.2333, -0.002], 60
[0.0173, -0.0784, 0.1093, -0.3236, -0.2701, -0.002], 60
[0.0202, -0.0954, 0.1093, -0.3573, -0.3023, -0.002], 60
[0.0202, -0.1119, 0.1287, -0.4033, -0.3422, -0.002], 60
[0.0224, -0.1289, 0.1481, -0.4417, -0.3759, -0.002], 60
[0.0246, -0.1289, 0.1676, -0.477, -0.4066, -0.002], 60
[0.0274, -0.1458, 0.1676, -0.5123, -0.4373, -0.002], 60
[0.0274, -0.1633, 0.1875, -0.5445, -0.4649, -0.002], 60
[0.0303, -0.1807, 0.2069, -0.6074, -0.5155, -0.002], 61
[0.0325, -0.1977, 0.2263, -0.6518, -0.5585, -0.002], 60
[0.0354, -0.1977, 0.2462, -0.6825, -0.5845, -0.002], 60
[0.0383, -0.2151, 0.2462, -0.7147, -0.6137, 0.0031], 60
[0.0383, -0.2321, 0.2656, -0.7592, -0.649, -0.002], 60
[0.0419, -0.2486, 0.2845, -0.793, -0.6796, -0.002], 60
[0.0441, -0.2486, 0.3039, -0.8405, -0.718, -0.002], 60
[0.0469, -0.2655, 0.3039, -0.8743, -0.7441, -0.002], 60
[0.0469, -0.2825, 0.3228, -0.9065, -0.7778, -0.002], 60
[0.0498, -0.299, 0.3423, -0.9418, -0.8116, -0.002], 60
[0.0527, -0.299, 0.3617, -0.9847, -0.8469, -0.002], 60
[0.0549, -0.316, 0.3617, -1.02, -0.8775, -0.002], 60
[0.0549, -0.333, 0.3811, -1.0645, -0.9113, -0.002], 60
[0.0585, -0.3504, 0.4005, -1.0967, -0.9404, -0.002], 60
[0.0614, -0.3504, 0.4199, -1.1397, -0.9788, -0.002], 60
[0.0643, -0.3674, 0.4199, -1.1719, -1.0064, -0.002], 60
[0.0643, -0.3848, 0.4393, -1.2072, -1.0355, -0.002], 61
[0.0664, -0.4018, 0.4592, -1.2486, -1.0708, -0.002], 60
[0.0686, -0.4018, 0.4786, -1.2823, -1.0969, -0.002], 60
[0.0715, -0.4187, 0.4786, -1.3207, -1.1306, -0.002], 60
[0.0715, -0.4362, 0.4981, -1.3652, -1.1705, -0.002], 60
