[0.0, 0.0, 0.0005, 0.0001, -0.0001, 0.0184], 519
[0.0, 0.0, 0.0, 0.0001, -0.0001, -0.002], 61
[0.0, -0.0023, 0.0046, -0.0152, -0.017, 0.0031], 422
[0.0022, -0.0055, 0.0138, -0.0429, -0.0354, -0.002], 60
[0.0022, -0.0161, 0.0138, -0.0873, -0.0691, -0.002], 60
[0.0043, -0.0303, 0.0296, -0.1242, -0.0998, 0.0031], 60
[0.0065, -0.0303, 0.0475, -0.1686, -0.1382, -0.002], 60
[0.0087, -0.0463, 0.0475, -0.2147, -0.178, -0.002], 60
[0.0087, -0.0628, 0.0664, -0.2499, -0.2072, -0.002], 60
[0.0116, -0.0798, 0.0853, -0.2898, -0.2455, 0.0031], 60
[0.0144, -0.0798, 0.1047, -0.3236, -0.2762, -0.002], 60
[0.0173, -0.0968, 0.1246, -0.3619, -0.3069, 0.0031], 60
[0.0173, -0.1133, 0.1246, -0.4125, -0.3514, -0.002], 60
[0.0202, -0.1302, 0.1441, -0.4463, -0.379, 0.0031], 60
[0.0231, -0.1302, 0.1635, -0.4785, -0.4081, -0.002], 60
[0.026, -0.1472, 0.1834, -0.5061, -0.4311, -0.002], 60
[0.026, -0.1646, 0.1834, -0.5445, -0.4634, -0.002], 60
[0.0282, -0.1816, 0.2028, -0.5997, -0.5063, -0.002], 60
[0.0311, -0.1816, 0.2222, -0.635, -0.5401, -0.002], 60
[0.0339, -0.199, 0.2416, -0.6718, -0.5753, -0.002], 60
[0.0339, -0.216, 0.2416, -0.6979, -0.6014, 0.0031], 60
[0.0368, -0.233, 0.261, -0.747, -0.6413, -0.002], 60
[0.0397, -0.233, 0.2804, -0.7868, -0.672, -0.002], 60
[0.0426, -0.2504, 0.2999, -0.8145, -0.6996, -0.002], 60
[0.0426, -0.2669, 0.2999, -0.8605, -0.7364, -0.002], 60
[0.0448, -0.2839, 0.3193, -0.8958, -0.7655, -0.002], 60
[0.0477, -0.2839, 0.3382, -0.9372, -0.8039, -0.002], 60
[0.0506, -0.3004, 0.3576, -0.9725, -0.833, -0.002], 60
[0.0506, -0.3178, 0.3576, -1.0062, -0.8622, -0.002], 60
[0.0527, -0.3348, 0.377, -1.0399, -0.8929, -0.002], 60
[0.0563, -0.3518, 0.3964, -1.089, -0.9374, -0.002], 61
[0.0592, -0.3518, 0.4158, -1.1366, -0.9726, -0.002], 60
[0.0614, -0.3692, 0.4357, -1.1719, -1.0033, -0.002], 60
[0.0614, -0.3862, 0.4357, -1.2118, -1.0386, -0.002], 60
[0.0636, -0.4036, 0.4551, -1.2455, -1.0677, -0.002], 60
[0.0672, -0.4036, 0.4746, -1.2885, -1.1092, -0.002], 60
[0.0701, -0.421, 0.494, -1.3237, -1.1383, -0.002], 60
[0.0701, -0.438, 0.494, -1.3575, -1.1675, -0.002], 60
[0.0722, -0.455, 0.5134, -1.4004, -1.2043, -0.002], 60
[0.0751, -0.455, 0.5333, -1.4372, -1.2349, -0.002], 60
[0.0809, -0.5059, 0.5716, -1.5554, -1.3331, -0.002], 187
[0.0838, -0.5059, 0.591, -1.5952, -1.3684, -0.002], 60
[0.0867, -0.5233, 0.6104, -1.6213, -1.3914, -0.002], 60
[0.0867, -0.5403, 0.6104, -1.6551, -1.4221, -0.002], 60
[0.0888, -0.5577, 0.6304, -1.6965, -1.4589, 0.0031], 60
[0.0917, -0.5577, 0.6472, -1.7379, -1.4942, -0.002], 60
[0.0939, -0.571, 0.6595, -1.7532, -1.508, -0.002], 60
[0.0946, -0.5838, 0.6656, -1.7609, -1.5172, -0.002], 120
[0.0823, -0.5815, 0.6569, -1.7671, -1.5203, -0.002], 301
[0.0636, -0.5815, 0.6447, -1.7594, -1.5065, -0.002], 60
[0.0332, -0.5815, 0.6447, -1.7318, -1.4865, -0.002], 60
[0.0332, -0.5815, 0.6278, -1.6719, -1.465, -0.002], 60
[-0.0022, -0.582, 0.6079, -1.6229, -1.4482, -0.002], 60
[-0.0383, -0.582, 0.5875, -1.5676, -1.4282, -0.002], 60
[-0.0758, -0.5825, 0.5875, -1.5278, -1.4098, -0.002], 60
[-0.0758, -0.5829, 0.5665, -1.4894, -1.3807, -0.002], 60
